"Protein Accession","DNA Accession","ARO Name","ARO Accession"
ABC17627.1,DQ303918,AAC(6')-Ib-cr,ARO:3002547
ACL37342.1,FJ503047,AAC(6')-Ib-Hangzhou,ARO:3002592
BAD11815.1,AB164230,AAC(6')-Ib-SK,ARO:3002593
ABU55430.1,EU085533,AAC(6')-Ib-Suzhou,ARO:3002591
AAA26549.1,M94066,AAC(6')-Ic,ARO:3002549
NP_863643.1,NC_005024,AAC(6')-Ie-APH(2'')-Ia,ARO:3002597
CAA39038.1,X55353,AAC(6')-If,ARO:3002553
AAA21889.1,L09246,AAC(6')-Ig,ARO:3002554
AAC41391.1,L29044,AAC(6')-Ih,ARO:3002555
AAB63533.1,L12710,AAC(6')-Ii,ARO:3002556
AAM92464.1,AY123251,AAC(6')-IIa,ARO:3002594
AAA25680.1,L06163,AAC(6')-IIb,ARO:3002595
AAD46626.1,AF162771,AAC(6')-IIc,ARO:3002596
AGL46466.1,KC543497.1,AAC(6')-IId,ARO:3002548
CAE50925.1,AJ584700,AAC(6')-Iid,ARO:3002589
CAE50926.1,AJ584701,AAC(6')-Iih,ARO:3002590
AAC41392.1,L29045,AAC(6')-Ij,ARO:3002557
AAA87229.1,L29510,AAC(6')-Ik,ARO:3002558
CAA91010.1,Z54241,AAC(6')-Ip,ARO:3002559
AAK63041.1,AF337947,AAC(6')-Ip,ARO:3002559
AAC25500.1,AF047556,AAC(6')-Iq,ARO:3002560
AAD03490.1,AF031326,AAC(6')-Ir,ARO:3002561
AAD03491.1,AF031327,AAC(6')-Is,ARO:3002562
BAD10948.2,AB116646,AAC(6')-Isa,ARO:3002563
AAD03492.1,AF031328,AAC(6')-It,ARO:3002564
AAD03493.1,AF031329,AAC(6')-Iu,ARO:3002565
AAD03494.1,AF031330,AAC(6')-Iv,ARO:3002566
AAD03495.1,AF031331,AAC(6')-Iw,ARO:3002567
AAD03496.1,AF031332,AAC(6')-Ix,ARO:3002568
AAF03531.1,AF144880,AAC(6')-Iy,ARO:3002569
AAD52985.1,AF140221,AAC(6')-Iz,ARO:3002570
AAU10334.1,AY712687,aad(6),ARO:3002628
YP_006142099.1,NC_017645.1,aadA,ARO:3002601
YP_001715321.1,NC_010410,aadA,ARO:3002601
AAV32840.1,AY758206,aadA11,ARO:3002611
CAD99015.1,AJ567827,aadA11,ARO:3002611
ACJ47200.1,FJ381668,aadA12,ARO:3002612
YP_009081591.1,NG_036525,aadA13,ARO:3002613
CAI57696.1,AJ884726,aadA14,ARO:3002614
ABD58917.1,DQ393783,aadA15,ARO:3002615
ACF17980.1,EU675686,aadA16,ARO:3002616
ACK43806.1,FJ460181,aadA17,ARO:3002617
AAF27727.1,AF156486,aadA2,ARO:3002602
AAN87151.1,AY171244,aadA21,ARO:3002618
CAK12750.1,AM261837,aadA22,ARO:3002619
CAH10847.1,AJ809407,aadA23,ARO:3002620
ABG72894.1,DQ677333,aadA24,ARO:3002621
AET15272.1,CP003022,aadA25,ARO:3003197
AAC14728.1,AF047479,aadA3,ARO:3002603
AAN34365.1,AY138986,aadA4,ARO:3002604
AAF17880.1,AF137361,aadA5,ARO:3002605
CAJ32504.1,AM087411,aadA6,ARO:3002606
CAJ32491.1,AM087405,aadA6/aadA10,ARO:3002622
BAD00739.1,AB114632,aadA7,ARO:3002607
AAN41439.1,AY139603,aadA8,ARO:3002608
ABG49324.1,DQ390458,aadA9,ARO:3002609
CAB14620.1,AL009126,aadK,ARO:3002627
XP_753111.1,NC_007194.1,abcA,ARO:3003942
BAD89844.2,AB204810,abeM,ARO:3000753
YP_002325052.1,NC_011595,abeS,ARO:3000768
CAB46491.1,AJ133121,ACC-1,ARO:3001815
AAF86691.1,AF180952,ACC-2,ARO:3001816
AAF86697.1,AF180958,ACC-3,ARO:3001817
ABP49606.1,EF504260,ACC-4,ARO:3001818
CCK86740.1,HE819401,ACC-5,ARO:3001819
ALX99516.1,CP013924.1,"Acinetobacter baumannii adeC",ARO:3003812
ACJ42146.1,CP001182.1,"Acinetobacter baumannii AmpC",ARO:3003796
AJF82744.1,CP010781.1,"Acinetobacter baumannii gyrA conferring resistance to fluoroquinolones",ARO:3003817
ALJ89624.1,CP012952.1,"Acinetobacter baumannii parC conferring resistance to fluoroquinolone",ARO:3003818
AHB92962.1,CP006768.1,"Acinetobacter OprD conferring resistance to imipenem",ARO:3003809
YP_005225489.1,NC_016845.1,acrA,ARO:3000207
ABG77965.1,DQ679966,acrA,ARO:3000207
ABG77966.1,DQ679966,acrB,ARO:3000216
YP_490697.1,NC_007779,acrD,ARO:3000491
AAC76297.1,U00096,acrE,ARO:3000499
AAC76298.1,U00096,acrF,ARO:3000502
AAC76296.1,U00096,acrS,ARO:3000656
AAC45086.2,U58495,ACT-1,ARO:3001821
AEV91214.1,JN848330,ACT-10,ARO:3001832
AFU25650.1,JX440355,ACT-12,ARO:3001834
CCK86741.1,HE819402,ACT-13,ARO:3001835
AFU25647.1,JX440354,ACT-14,ARO:3001836
AFU25653.1,JX440356,ACT-15,ARO:3001837
BAM34463.1,AB737978,ACT-16,ARO:3001827
AHM76771.1,KF992026,ACT-17,ARO:3001838
AHM76777.1,KF992028,ACT-18,ARO:3001839
AHM76779.1,KF992029,ACT-19,ARO:3001840
CAJ28994.1,AM076977,ACT-2,ARO:3001822
AHA80105.1,KF526117,ACT-20,ARO:3001841
AHA80106.1,KF526118,ACT-21,ARO:3001842
AHM76774.1,KF992027,ACT-22,ARO:3001843
AGU38146.1,KF515536,ACT-23,ARO:3001828
AHL39336.1,KJ207207,ACT-24,ARO:3001844
AHL39338.1,KJ207208,ACT-25,ARO:3001845
AHL39340.1,KJ207209,ACT-27,ARO:3001847
AHL39333.1,KJ207206,ACT-28,ARO:3001848
AIT76085.1,KM087832,ACT-29,ARO:3001849
ABL67017.1,EF125013,ACT-3,ARO:3001823
AIT76086.1,KM087833,ACT-30,ARO:3001850
AIT76096.1,KM087843,ACT-31,ARO:3001851
AIT76088.1,KM087835,ACT-32,ARO:3001852
AIT76087.1,KM087834.1,ACT-33,ARO:3001853
BAP68758.1,LC004922,ACT-35,ARO:3001855
AJG06170.1,KM926621,ACT-36,ARO:3003171
AJG06172.1,KM926622,ACT-37,ARO:3003172
ABZ81086.1,EU427302,ACT-4,ARO:3001829
ACJ05689.1,FJ237369,ACT-5,ARO:3001824
ACJ05686.1,FJ237366,ACT-6,ARO:3001825
ACJ05688.1,FJ237368,ACT-7,ARO:3001830
AEI70575.1,HQ693810,ACT-9,ARO:3001826
WP_004714775.1,NG_048633.1,ADC-1,ARO:3003847
WP_063857787.1,NG_048636,ADC-12,ARO:3003856
WP_063857788.1,NG_048637.1,ADC-13,ARO:3003857
WP_063857789.1,NG_048638,ADC-14,ARO:3003858
WP_063857790.1,NG_048639,ADC-15,ARO:3003859
WP_063857791.1,NG_048640.1,ADC-16,ARO:3003860
WP_063857792.1,NG_048641.1,ADC-17,ARO:3003861
WP_002118772.1,NG_048642,ADC-18,ARO:3003862
WP_063857793.1,NG_048643.1,ADC-19,ARO:3003863
WP_004746565.1,NG_048644.1,ADC-2,ARO:3003848
WP_063857794.1,NG_048645,ADC-20,ARO:3003864
WP_063857795.1,NG_048646,ADC-21,ARO:3003865
WP_063857796.1,NG_048647.1,ADC-22,ARO:3003866
WP_063857797.1,NG_048648.1,ADC-23,ARO:3003867
WP_001211217.1,NG_048649.1,ADC-25,ARO:3003868
WP_063857798.1,NG_048651,ADC-3,ARO:3003849
WP_001211223.1,NG_050716.1,ADC-31,ARO:3003870
WP_063857800.1,NG_048654.1,ADC-39,ARO:3003871
WP_063857801.1,NG_048655.1,ADC-4,ARO:3003850
WP_063857802.1,NG_048656.1,ADC-41,ARO:3003872
WP_063857803.1,NG_048657.1,ADC-42,ARO:3003873
WP_032055358.1,NG_048658.1,ADC-43,ARO:3003874
WP_063857804.1,NG_048659.1,ADC-44,ARO:3003876
WP_038405930.1,NG_048660.1,ADC-5,ARO:3003851
WP_031973850.1,NG_048666.1,ADC-56,ARO:3003878
WP_017725267.1,NG_048669.1,ADC-6,ARO:3003852
WP_033503051.1,NG_048671.1,ADC-61,ARO:3003879
WP_063857816.1,NG_048677.1,ADC-7,ARO:3003853
WP_001211203.1,NG_048679.1,ADC-74,ARO:3003880
WP_063857817.1,NG_048680.1,ADC-75,ARO:3003881
WP_001211237.1,NG_048681.1,ADC-76,ARO:3003882
WP_063857818.1,NG_048682.1,ADC-77,ARO:3003883
WP_057691006.1,NG_048683.1,ADC-78,ARO:3003884
WP_001159760.1,NG_048684.1,ADC-79,ARO:3003885
WP_004923134.1,NG_048685,ADC-8,ARO:3003854
WP_029424536.1,NG_048686.1,ADC-80,ARO:3003886
WP_059262723.1,NG_048687.1,ADC-81,ARO:3003887
WP_001211216.1,NG_050718.1,ADC-82,ARO:3003888
YP_002325610.1,NC_011595,adeA,ARO:3000774
YP_002325611.1,NC_011595,adeB,ARO:3000775
YP_001706894.1,NC_010400,adeF,ARO:3000777
YP_001706893.1,NC_010400,adeG,ARO:3000778
YP_001713101.1,NC_010410,adeH,ARO:3000779
YP_002320475.1,NC_011586,adeI,ARO:3000780
AAX14802.1,AY769962,adeJ,ARO:3000781
AAX14803.1,AY769962,adeK,ARO:3000782
AGV28567.1,KF147862,adeN,ARO:3000559
ADM92605.1,HM440348,adeR,ARO:3000553
ADM92606.1,HM440348,adeS,ARO:3000549
NP_418540.1,NC_000913.3,adiY,ARO:3003828
AAC09015.1,U14748,AER-1,ARO:3002481
WP_003137023.1,NC_008463.1,ahpF,ARO:3003909
CAQ53840.1,AM998375,AIM-1,ARO:3000853
NP_417177.1,NC_000913.3,"aminocoumarin resistant alaS",ARO:3003830
NP_415791.1,NC_000913.3,"aminocoumarin resistant cysB",ARO:3003840
NP_250709.1,NC_002516,amrA,ARO:3002982
NP_250708.1,NC_002516,amrB,ARO:3002983
AAC64365.1,AF078527,ANT(2'')-Ia,ARO:3000230
CAA28209.1,X04555,ANT(2'')-Ia,ARO:3000230
AAL51021.2,AF453998,"ANT(3'')-Ii-AAC(6')-IId fusion protein",ARO:3002598
AAO83986.1,EF540343,ANT(4')-Ia,ARO:3002623
YP_006938491.1,NC_013342.1,ANT(4')-Ib,ARO:3003905
AAA25717.1,M98270,ANT(4')-IIa,ARO:3002624
AAM76670.1,AY114142,ANT(4')-IIb,ARO:3002625
YP_008997281.1,NC_023287,ANT(6)-Ia,ARO:3002626
CBH51824.1,FN594949,ANT(6)-Ib,ARO:3002629
AIJ27543.1,KF864551.1,ANT(6)-Ib,ARO:3002629
AFU35063.1,JX560992,ANT(9)-Ia,ARO:3002630
YP_499533.1,NC_007795.1,"antibiotic resistant menA",ARO:3003917
ACH48870.1,CP001138,"antibiotic sensitive arabinosyltransferase",ARO:3000725
CCP42965.1,AL123456,"antibiotic sensitive arabinosyltransferase",ARO:3000725
AAO37655.1,AY198120,"antibiotic sensitive arabinosyltransferase",ARO:3000725
WP_006683679.1,NZ_GG730299,"antibiotic sensitive arabinosyltransferase",ARO:3000725
AAK48266.1,AE000516,"antibiotic sensitive arabinosyltransferase",ARO:3000725
CAC29612.1,AL450380,"antibiotic sensitive arabinosyltransferase",ARO:3000725
AFN48089.1,CP003248,"antibiotic sensitive arabinosyltransferase",ARO:3000725
CAC29614.1,AL450380,"antibiotic sensitive arabinosyltransferase",ARO:3000725
NP_461243.1,NC_003197,"antibiotic sensitive arabinosyltransferase",ARO:3000725
CAC29613.1,AL450380,"antibiotic sensitive embA",ARO:3000764
AAC44547.1,U66560,"antibiotic sensitive embA",ARO:3000764
AAC44548.1,U66560,"antibiotic sensitive embB",ARO:3000765
AAX38178.1,AY939911,APH(2'')-Ie,ARO:3002634
AGV10818.1,CP004067,APH(2'')-Ig,ARO:3002669
AAK63040.1,AF337947,APH(2'')-IIa,ARO:3002635
AAB49832.1,U51479,APH(2'')-IIIa,ARO:3002636
AAC14693.1,AF016483,APH(2'')-IVa,ARO:3002637
CAA37605.1,X53527,APH(3'')-Ia,ARO:3002638
CAE51638.1,BX664015,APH(3')-Ia,ARO:3002641
ABK33456.1,AF313472,APH(3'')-Ib,ARO:3002639
AAA26412.1,M20305,APH(3')-Ib,ARO:3002642
ABC68330.1,DQ336355,APH(3'')-Ic,ARO:3002640
WP_000572405.1,NG_047417.1,APH(3')-IIa,ARO:3002644
CAA62365.1,X90856,APH(3')-IIb,ARO:3002645
ADQ43421.1,HQ424460,APH(3')-IIc,ARO:3002646
AGV10830.1,CP004067,APH(3')-IIIa,ARO:3002647
CAA27061.1,X03364,APH(3')-IVa,ARO:3002648
AAA26699.1,K00432,APH(3')-Va,ARO:3002649
AAC32025.1,M22126,APH(3')-Vb,ARO:3002650
AAB21326.1,S81599,APH(3')-Vc,ARO:3002651
AGI04227.1,KC170992.1,APH(3')-VI,ARO:3003687
CAA30578.1,X07753,APH(3')-VIa,ARO:3002652
AAA76822.1,M29953,APH(3')-VIIa,ARO:3002654
CAA24743.1,V01499,APH(4)-Ia,ARO:3002655
CAA52372.1,X74325,APH(4)-Ib,ARO:3002656
CAA68516.1,Y00459,APH(6)-Ia,ARO:3002657
CAA29136.1,X05648,APH(6)-Ib,ARO:3002658
CAA25854.1,X01702,APH(6)-Ic,ARO:3002659
AAC23556.1,AF024602,APH(6)-Id,ARO:3002660
CAA27276.1,X03615,APH(7'')-Ia,ARO:3002661
AAB58447.1,U94857,APH(9)-Ia,ARO:3002662
CAH15775.1,CR628337,APH(9)-Ia,ARO:3002662
AAB66655.1,U70376,APH(9)-Ib,ARO:3002663
CBL58181.1,FN806789.3,apmA,ARO:3003918
BAM76830.1,AB765395,AQU-1,ARO:3002993
YP_001332362.1,NC_009641,arlR,ARO:3000838
YP_499945.1,NC_007795,arlS,ARO:3000839
ADC55560.1,GU437214.1,armA,ARO:3000858
NP_252244,NC_002516.2,arnA,ARO:3002985
AAC75315.1,U00096,arnA,ARO:3002985
AAC05822.1,AF001493,arr-1,ARO:3002846
AAC64366.1,AF078527,arr-2,ARO:3002847
ACD56151.1,EU675686,arr-3,ARO:3002848
ABV26705.1,EF660562,arr-4,ARO:3002849
ABV26707.1,EF660563,arr-5,ARO:3002850
CAZ48628.1,FN397623,arr-7,ARO:3002852
AGC29882.1,KC199968,arr-8,ARO:3002853
AAC76093.1,U00096,bacA,ARO:3002986
EEL41021.1,ACMJ01000036,"Bacillus Cluster A intrinsic mph",ARO:3003072
AAT30688.1,AE017334,"Bacillus Cluster A intrinsic mph",ARO:3003072
ADY20942.1,CP002508,"Bacillus Cluster A intrinsic mph",ARO:3003072
EEM84593.1,ACNI01000036,"Bacillus Cluster A intrinsic mph",ARO:3003072
EJR79613.1,AHFH01000028,"Bacillus Cluster A intrinsic mph",ARO:3003072
EJR71705.1,AHFH01000066.1,"Bacillus Cluster B intrinsic mph",ARO:3003767
EOO80837.1,AHEL01000071.1,"Bacillus Cluster B intrinsic mph",ARO:3003767
CAX52582.1,AL009126,"Bacillus subtilis mprF",ARO:3003324
BAA85265,AB016245,"Bacillus subtilis pgsA mutations conferring resistance to daptomycin",ARO:3003788
YP_490321.1,NC_007779,baeR,ARO:3000828
BAA15934.1,AP009048,baeS,ARO:3000829
AAL82403.1,AF469609,"Bartonella bacilliformis gyrA conferring resistance to fluoroquinolones",ARO:3003297
WP_005768149.1,NC_008783,"Bartonella bacilliformis gyrB conferring resistance to aminocoumarin",ARO:3003302
CAA29819.1,X06599,BcI,ARO:3002877
AAA22562.1,M19530,BcII,ARO:3002878
ALV80601.1,CP012901.1,bcr-1,ARO:3003801
AAA99504.1,L20573,bcrA,ARO:3002987
AAA99505.1,L20573,bcrB,ARO:3002988
AAA99503.1,L20573,bcrC,ARO:3003250
AAZ04368.1,DQ089809,BEL-1,ARO:3002385
ACV69996.1,FJ666063,BEL-2,ARO:3002386
ACT09140.1,GQ202694,BEL-3,ARO:3002387
YP_003971446,NC_014638,"Bifidobacteria intrinsic ileS conferring resistance to mupirocin",ARO:3003730
BAL75272.1,AP012279,BJP-1,ARO:3000856
AAR20595.1,AY453161,BLA1,ARO:3000090
CAA65601.1,X96858,"BlaB beta-lactamase",ARO:3000579
ABU39978.1,EF540343,blaI,ARO:3000160
ABU39979.1,EF540343,blaR1,ARO:3000217
YP_007652797.1,NC_020818.1,"bleomycin resistance protein (BRP)",ARO:3001205
AAC36944.1,L32599,blt,ARO:3003006
AAA22277.1,M33768,bmr,ARO:3003007
,NR_044732.2,"Borrelia burgdorferi 16S rRNA mutation conferring resistance to gentamicin",ARO:3003504
,NR_044732.2,"Borrelia burgdorferi 16S rRNA mutation conferring resistance to kanamycin",ARO:3003503
,NR_044732.2,"Borrelia burgdorferi 16S rRNA mutation conferring resistance to spectinomycin",ARO:3003502
NP_212606,NC_001318,"Borrelia burgdorferi mutant murA conferring resistance to fosfomycin",ARO:3003777
Q8FW76,AE014292,"Brucella suis mprF",ARO:3003772
YP_002344422.1,NC_002163.1,"Campylobacter jejuni gyrA conferring resistance to fluoroquinolones",ARO:3003789
EEK14408.1,ACLQ01000019.1,"Capnocytophaga gingivalis gyrA conferring resistance to fluoroquinolones",ARO:3003931
AAC32027.1,M80346,carA,ARO:3002817
AAK96394.1,AF313471,CARB-1,ARO:3002240
ACJ61335.1,EU850412,CARB-10,ARO:3002249
BAA02497.1,D13210,CARB-12,ARO:3002250
AFI72872.1,JQ364968,CARB-14,ARO:3002252
CCW43444.1,HF953351,CARB-16,ARO:3002255
AIL92326.1,KJ934265,CARB-17,ARO:3002254
AIL92327.1,KJ934266,CARB-18,ARO:3003174
AIL92328.1,KJ934267,CARB-19,ARO:3003175
AAZ91704.1,DQ157752,CARB-2,ARO:3002241
WP_020835015.1,NG_048723.1,CARB-20,ARO:3003150
AGQ93789.1,CP006005,CARB-21,ARO:3003176
BAC61820.1,BA000032,CARB-22,ARO:3003151
AHJ02283.1,CP007005,CARB-23,ARO:3003186
AAB19430.2,S46063,CARB-3,ARO:3002242
AAC09012.1,U14749,CARB-4,ARO:3002243
AAF61417.1,AF135373,CARB-5,ARO:3002244
AAD19217.1,AF030945,CARB-6,ARO:3002245
AAM74565.1,AF409092,CARB-7,ARO:3002246
AAO59455.1,AY178993,CARB-8,ARO:3002247
AAP22374.1,AY248038,CARB-9,ARO:3002248
AKL79742.1,KP658477.1,CarO,ARO:3003808
AAA16529.1,M58516,cat,ARO:3002670
AAB23649.1,S48276,cat,ARO:3002670
AAA26613.1,M58515,cat,ARO:3002670
AAA22081.1,M58472,cat,ARO:3002670
AAA25655.1,M11587,cat,ARO:3002670
CAC84275.1,AJ312056,cat,ARO:3002670
CAA63498.1,X92945,cat,ARO:3002670
NP_052167.1,NC_002096,cat,ARO:3002670
BAC11901.1,AB080798,cat,ARO:3002670
NP_863168.1,NC_005000,cat,ARO:3002670
CAA43218.1,X60827,cat,ARO:3002670
AAL08441.1,AF326777,cat,ARO:3002670
AAA26615.1,M64281,cat,ARO:3002670
AAQ63644.1,AY238971,cat,ARO:3002670
AAA23018.1,M35190,cat,ARO:3002670
AAA22289.1,K00544,cat86,ARO:3002672
AAA73865.1,M93113,catB,ARO:3002674
CAI47810.1,AJ878850,catB10,ARO:3003110
CAD31710.1,AJ487034,catB2,ARO:3002675
NP_848167.1,NC_004771,catB2,ARO:3002675
YP_006965431.1,NC_019368.1,catB3,ARO:3002676
CAA11473.1,AJ223604,catB6,ARO:3002678
NP_249397.1,NC_002516,catB7,ARO:3002679
YP_009077553.1,NG_035647.1,catB8,ARO:3002680
AAL68645.1,AF462019,catB9,ARO:3002681
AAF66228.1,AF226276.1,catD,ARO:3002682
CAA23899.1,V00622,catI,ARO:3002683
CAA37806.1,X53797,catII,ARO:3002684
CAA37805.1,X53796,catII,ARO:3002684
CAB75601.1,AJ271879,catIII,ARO:3002685
CAA30695.1,X07848,catIII,ARO:3002685
AAB51421.1,U15027,catP,ARO:3002686
AAA23215.1,M55620,catQ,ARO:3002687
CAA52904.1,X74948,catS,ARO:3002688
AAB53259.1,U75299,cat-TC,ARO:3002671
CAC87665.1,AJ308331,"CAU-1 beta-lactamase",ARO:3000855
ACT97415.1,GQ343019,CblA-1,ARO:3002999
WP_003107324.1,NC_008463.1,ccmF,ARO:3003913
AAA22904.1,M63556,"CcrA beta-lactamase",ARO:3000578
CAE00499.1,AJ574887.1,CdeA,ARO:3003835
AAB58160.1,U97042,ceoA,ARO:3003009
AAB58161.1,U97042,ceoB,ARO:3003010
AAA21532.1,U05883,"cepA beta-lactamase",ARO:3003559
AAM63403.1,AY112998,CEPH-A3,ARO:3003093
CAA56561.1,X80277,"CepS beta-lactamase",ARO:3003553
BAC76072.1,AB107899,CFE-1,ARO:3001856
CAL64019.1,AM408573,cfrA,ARO:3003441
AAB17891.1,U38243,CfxA,ARO:3003001
AAD23513.1,AF118110,CfxA2,ARO:3003002
AAL79549.2,AF472622,CfxA3,ARO:3003003
AAV37205.1,AY769933,CfxA4,ARO:3003005
AAV37206.1,AY769934,CfxA5,ARO:3003096
ACT97371.1,GQ342996,CfxA6,ARO:3003097
ABS29619.1,EF672680,"CGB-1 beta-lactamase",ARO:3000841
AAN28945,AY152390,"Chlamydia trachomatis murA",ARO:3003785
,NC_005353.1,"Chlamydomonas reinhardtii 16S rRNA mutation in the rrnS gene conferring resistance to streptomycin",ARO:3003978
,AB001778.1,"Chlamydophila psittaci 16S rRNA mutation conferring resistance to spectinomycin",ARO:3003485
AAS79458.1,AY509120,chrB,ARO:3001302
WP_015735625.1,NC_013406.1,CIPa,ARO:3003907
YP_001420189.1,NC_009725,clbA,ARO:3002814
YP_002773985.1,NC_012491,clbB,ARO:3002815
YP_174574.1,NC_006582,clbC,ARO:3002816
WP_009887863.1,NC_017174,"Clostridium difficile EF-Tu mutants conferring resistance to elfamycin",ARO:3003357
Q0SSM7,CP000312,"Clostridium perfringens mprF",ARO:3003773
ABS43901.1,CP000768,cmeA,ARO:3000783
ABS43151.1,CP000768,cmeB,ARO:3000784
BAO79432.1,AB894099,cmeC,ARO:3000785
YP_002343805.1,NC_002163,cmeR,ARO:3000526
CAD31707.1,AJ487033,cmlA,ARO:3002691
AAB60004.2,U12338,cmlA1,ARO:3002693
AAO15535.1,AF458080,cmlA1,ARO:3002693
AAF27726.1,AF156486,cmlA4,ARO:3002694
AAM77075.1,AY115475,cmlA5,ARO:3002695
AAK52606.1,AF294653,cmlA6,ARO:3002696
AAD22144.1,AF034958,cmlB,ARO:3002698
CAL30186.1,AM296481,cmlB1,ARO:3002699
AAB36568.1,U09991,cmlv,ARO:3002700
CAA78046.1,Z12001,cmr,ARO:3002701
AAB46602.1,U85507,cmr,ARO:3002701
AAC45805.1,AF015087,cmrA,ARO:3002702
AAG03380.1,AF024666,cmx,ARO:3002703
CAA63264.1,X92508,CMY-1,ARO:3002012
AAK31368.1,AF357597,CMY-10,ARO:3002021
AHA80101.1,KF526113,CMY-100,ARO:3002112
AHA80102.1,KF526114,CMY-101,ARO:3002113
AHA80103.1,KF526115,CMY-102,ARO:3002114
AHA80104.1,KF526116,CMY-103,ARO:3002115
AGR82311.1,KF150216,CMY-104,ARO:3002116
AHL39330.1,KJ207205,CMY-105,ARO:3002117
AGZ20169.1,KF564648,CMY-108,ARO:3002120
AAK31370.1,AF357599,CMY-11,ARO:3002022
BAO05497.1,AB872957,CMY-110,ARO:3002071
AHW47897.1,KJ155695,CMY-111,ARO:3002122
AIT76090.1,KM087837,CMY-112,ARO:3002123
AIT76089.1,KM087836,CMY-113,ARO:3002124
AIT76099.1,KM087846,CMY-114,ARO:3002125
AIT76092.1,KM087839,CMY-115,ARO:3002126
AIT76093.1,KM087840,CMY-116,ARO:3002127
AIT76097.1,KM087844,CMY-117,ARO:3002128
AIT76091.1,KM087838,CMY-118,ARO:3002129
AIT76098.1,KM087845,CMY-119,ARO:3002130
CAA76382.1,Y16785,CMY-12,ARO:3002023
AAQ16660.2,AY339625,CMY-13,ARO:3002024
CAD88479.1,AJ555825,CMY-14,ARO:3002025
CAD88477.1,AJ555823,CMY-15,ARO:3002026
CAH03679.1,AJ781421,CMY-16,ARO:3002027
AAS13399.1,AY513266,CMY-17,ARO:3002028
AAU95778.1,AY743434,CMY-18,ARO:3002029
BAE48233.1,AB194410,CMY-19,ARO:3002030
CAA62957.1,X91840,CMY-2,ARO:3002013
AAX58682.2,AY960293,CMY-20,ARO:3002031
AAZ66866.1,DQ139328,CMY-21,ARO:3002032
